timestamp,destination,cwnd,ssthresh,rtt_ms,rttvar_ms,retrans,bytes_acked,bytes_sent,throughput_bps,throughput_mbps,pacing_rate,delivered,lost
0.0,bouygues.iperf.fr:5201,10,65535,31.37,2.86,0,466002,489302,3728017.2,3.73,4473620.64,0,0
1.0,bouygues.iperf.fr:5201,11,65535,28.32,6.79,0,603690,633875,4829525.03,4.83,5795430.03,603690,0
2.0,bouygues.iperf.fr:5201,12,65535,28.36,2.69,0,561895,589990,4495165.21,4.5,5394198.25,1123791,0
3.0,bouygues.iperf.fr:5201,12,65535,28.09,4.88,0,706332,741649,5650663.32,5.65,6780795.98,2118998,0
4.0,bouygues.iperf.fr:5201,12,65535,31.42,9.54,0,664835,698077,5318683.02,5.32,6382419.62,2659341,0
5.0,bouygues.iperf.fr:5201,12,65535,30.9,4.36,0,620497,651522,4963983.7,4.96,5956780.44,3102489,0
6.0,bouygues.iperf.fr:5201,7,6,30.53,4.61,1,281280,295344,2250240.79,2.25,2700288.94,1687680,1460
7.0,bouygues.iperf.fr:5201,8,6,29.22,7.26,1,398827,418769,3190623.49,3.19,3828748.18,2791795,1460
8.0,bouygues.iperf.fr:5201,10,6,30.23,7.4,1,497181,522040,3977453.48,3.98,4772944.18,3977453,1460
9.0,bouygues.iperf.fr:5201,10,6,30.82,6.77,1,512295,537909,4098360.41,4.1,4918032.5,4610655,1460
10.0,bouygues.iperf.fr:5201,12,6,30.81,9.3,1,514366,540084,4114928.77,4.11,4937914.53,5143660,1460
11.0,bouygues.iperf.fr:5201,12,6,31.55,1.68,1,556669,584502,4453352.09,4.45,5344022.51,6123359,1460
12.0,bouygues.iperf.fr:5201,12,6,28.57,8.89,1,675714,709500,5405717.59,5.41,6486861.11,8108576,1460
13.0,bouygues.iperf.fr:5201,13,6,28.1,6.86,1,706560,741888,5652480.33,5.65,6782976.39,9185280,1460
14.0,bouygues.iperf.fr:5201,13,6,30.71,9.78,1,672015,705616,5376126.05,5.38,6451351.26,9408220,1460
15.0,bouygues.iperf.fr:5201,13,6,29.83,9.12,1,604616,634847,4836935.24,4.84,5804322.29,9069253,1460
16.0,bouygues.iperf.fr:5201,14,6,31.76,2.31,1,691939,726535,5535512.18,5.54,6642614.61,11071024,1460
17.0,bouygues.iperf.fr:5201,7,7,30.24,9.66,2,414915,435661,3319326.89,3.32,3983192.26,7053569,2920
18.0,bouygues.iperf.fr:5201,6,7,31.71,6.19,2,364509,382735,2916079.61,2.92,3499295.53,6561179,2920
19.0,bouygues.iperf.fr:5201,7,7,28.74,6.39,2,403833,424025,3230671.24,3.23,3876805.49,7672844,2920
20.0,bouygues.iperf.fr:5201,7,7,29.81,6.05,2,372805,391446,2982446.76,2.98,3578936.11,7456116,2920
21.0,bouygues.iperf.fr:5201,8,7,30.26,3.53,2,357857,375750,2862857.97,2.86,3435429.57,7515002,2920
22.0,bouygues.iperf.fr:5201,9,7,30.85,3.46,2,495815,520605,3966520.51,3.97,4759824.61,10907931,2920
23.0,bouygues.iperf.fr:5201,8,7,30.09,9.48,2,462194,485304,3697557.07,3.7,4437068.48,10630476,2920
24.0,bouygues.iperf.fr:5201,7,7,31.89,9.15,2,414647,435380,3317183.6,3.32,3980620.32,9951550,2920
25.0,bouygues.iperf.fr:5201,8,7,31.55,1.25,2,396981,416830,3175848.85,3.18,3811018.62,9924527,2920
26.0,bouygues.iperf.fr:5201,9,7,28.17,8.12,2,512961,538609,4103692.47,4.1,4924430.97,13337000,2920
27.0,bouygues.iperf.fr:5201,9,7,31.02,6.89,2,509389,534858,4075115.85,4.08,4890139.02,13753516,2920
28.0,bouygues.iperf.fr:5201,9,7,28.53,4.42,2,568625,597056,4549003.79,4.55,5458804.55,15921513,2920
29.0,bouygues.iperf.fr:5201,10,7,28.62,7.14,2,599850,629842,4798801.78,4.8,5758562.13,17395656,2920
30.0,bouygues.iperf.fr:5201,10,7,30.38,7.81,2,565603,593884,4524830.88,4.52,5429797.06,16968115,2920
31.0,bouygues.iperf.fr:5201,10,7,30.82,6.94,2,556897,584742,4455183.23,4.46,5346219.87,17263835,2920
32.0,bouygues.iperf.fr:5201,11,7,28.07,3.06,2,654855,687598,5238842.56,5.24,6286611.07,20955370,2920
33.0,bouygues.iperf.fr:5201,11,7,31.2,9.83,2,582440,611562,4659526.36,4.66,5591431.63,19220546,2920
34.0,bouygues.iperf.fr:5201,13,7,29.13,4.5,2,577366,606234,4618932.46,4.62,5542718.95,19630462,2920
35.0,bouygues.iperf.fr:5201,14,7,29.1,3.28,2,788260,827673,6306083.74,6.31,7567300.49,27589116,2920
36.0,bouygues.iperf.fr:5201,16,7,30.61,2.22,2,805916,846212,6447331.92,6.45,7736798.3,29012993,2920
