timestamp,destination,cwnd,ssthresh,rtt_ms,rttvar_ms,retrans,bytes_acked,bytes_sent,throughput_bps,throughput_mbps,pacing_rate,delivered,lost
0.0,iperf.he.net:5201,10,65535,100.33,6.15,0,139696,146681,1117576.0,1.12,1341091.2,0,0
1.0,iperf.he.net:5201,10,65535,101.59,1.08,0,156459,164282,1251673.32,1.25,1502007.99,156459,0
2.0,iperf.he.net:5201,4,5,101.78,6.17,1,84413,88634,675307.52,0.68,810369.02,168826,1460
3.0,iperf.he.net:5201,5,5,99.76,7.1,1,78524,82450,628192.6,0.63,753831.12,235572,1460
4.0,iperf.he.net:5201,3,2,98.69,2.29,2,42305,44420,338444.21,0.34,406133.05,169222,2920
5.0,iperf.he.net:5201,4,2,99.74,8.25,2,56128,58935,449029.7,0.45,538835.65,280643,2920
6.0,iperf.he.net:5201,6,2,100.2,7.15,2,79959,83957,639677.51,0.64,767613.02,479758,2920
7.0,iperf.he.net:5201,6,2,99.32,1.79,2,101896,106991,815171.08,0.82,978205.3,713274,2920
8.0,iperf.he.net:5201,8,2,99.7,3.7,2,111785,117375,894286.3,0.89,1073143.56,894286,2920
9.0,iperf.he.net:5201,9,2,98.34,5.21,2,130638,137170,1045106.39,1.05,1254127.67,1175744,2920
10.0,iperf.he.net:5201,10,2,98.44,9.78,2,153855,161548,1230844.98,1.23,1477013.98,1538556,2920
11.0,iperf.he.net:5201,12,2,100.77,5.6,2,177875,186769,1423003.99,1.42,1707604.78,1956630,2920
12.0,iperf.he.net:5201,13,2,100.81,3.2,2,190503,200028,1524027.7,1.52,1828833.24,2286041,2920
13.0,iperf.he.net:5201,8,7,99.97,8.57,3,100873,105917,806986.75,0.81,968384.1,1311353,4380
14.0,iperf.he.net:5201,7,7,100.54,3.93,3,131285,137849,1050283.29,1.05,1260339.95,1837995,4380
15.0,iperf.he.net:5201,9,7,101.2,6.24,3,132953,139600,1063624.67,1.06,1276349.6,1994296,4380
16.0,iperf.he.net:5201,6,5,98.61,4.9,4,80430,84452,643447.86,0.64,772137.44,1286895,5840
17.0,iperf.he.net:5201,6,5,98.85,3.55,4,102384,107504,819078.69,0.82,982894.43,1740542,5840
18.0,iperf.he.net:5201,9,5,101.04,8.61,4,114029,119730,912232.29,0.91,1094678.75,2052522,5840
19.0,iperf.he.net:5201,10,5,100.91,4.81,4,161918,170013,1295344.1,1.3,1554412.92,3076442,5840
20.0,iperf.he.net:5201,10,5,100.88,4.37,4,161105,169160,1288840.96,1.29,1546609.16,3222102,5840
21.0,iperf.he.net:5201,12,5,100.33,6.14,4,169222,177684,1353783.03,1.35,1624539.64,3553680,5840
22.0,iperf.he.net:5201,13,5,99.11,2.17,4,196198,206008,1569585.09,1.57,1883502.11,4316358,5840
23.0,iperf.he.net:5201,15,5,101.61,9.84,4,233274,244938,1866195.52,1.87,2239434.63,5365312,5840
24.0,iperf.he.net:5201,15,5,101.71,1.59,4,251746,264334,2013974.16,2.01,2416768.99,6041922,5840
25.0,iperf.he.net:5201,18,5,98.1,5.88,4,266928,280274,2135424.76,2.14,2562509.71,6673202,5840
26.0,iperf.he.net:5201,19,5,100.03,7.29,4,254608,267338,2036865.92,2.04,2444239.1,6619814,5840
27.0,iperf.he.net:5201,20,5,101.56,7.45,4,289797,304287,2318382.54,2.32,2782059.05,7824541,5840
28.0,iperf.he.net:5201,23,5,99.47,2.06,4,338206,355117,2705655.36,2.71,3246786.43,9469793,5840
29.0,iperf.he.net:5201,24,5,101.25,9.07,4,366581,384910,2932648.86,2.93,3519178.63,10630852,5840
30.0,iperf.he.net:5201,24,5,101.89,6.99,4,331456,348029,2651651.29,2.65,3181981.55,9943692,5840
31.0,iperf.he.net:5201,26,5,98.52,8.2,4,400636,420668,3205093.0,3.21,3846111.6,12419735,5840
32.0,iperf.he.net:5201,28,5,100.3,1.37,4,445804,468094,3566435.4,3.57,4279722.48,14265741,5840
33.0,iperf.he.net:5201,28,5,99.54,8.56,4,473407,497078,3787263.1,3.79,4544715.72,15622460,5840
34.0,iperf.he.net:5201,29,5,100.14,2.09,4,410568,431097,3284550.99,3.28,3941461.19,13959341,5840
35.0,iperf.he.net:5201,30,5,99.47,6.27,4,427518,448894,3420151.89,3.42,4104182.27,14963164,5840
36.0,iperf.he.net:5201,31,5,98.08,9.92,4,472223,495835,3777791.09,3.78,4533349.31,17000059,5840
37.0,iperf.he.net:5201,33,5,100.11,3.63,4,484812,509053,3878499.22,3.88,4654199.06,17938058,5840
38.0,iperf.he.net:5201,35,5,99.5,6.25,4,518880,544824,4151040.52,4.15,4981248.63,19717442,5840
39.0,iperf.he.net:5201,34,5,101.46,5.32,4,532229,558841,4257838.57,4.26,5109406.29,20756963,5840
40.0,iperf.he.net:5201,36,5,101.0,2.31,4,498447,523369,3987580.78,3.99,4785096.94,19937903,5840
41.0,iperf.he.net:5201,37,5,101.2,9.26,4,490662,515195,3925300.01,3.93,4710360.01,20117162,5840
42.0,iperf.he.net:5201,40,5,100.74,1.11,4,527404,553774,4219234.41,4.22,5063081.29,22150980,5840
43.0,iperf.he.net:5201,40,5,98.36,3.28,4,631616,663197,5052931.1,5.05,6063517.32,27159504,5840
44.0,iperf.he.net:5201,41,5,98.04,4.4,4,656735,689571,5253880.05,5.25,6304656.06,28896340,5840
45.0,iperf.he.net:5201,43,5,100.01,1.2,4,675502,709277,5404022.07,5.4,6484826.49,30397624,5840
46.0,iperf.he.net:5201,43,5,99.63,1.05,4,629539,661016,5036315.49,5.04,6043578.59,28958814,5840
47.0,iperf.he.net:5201,45,5,99.78,7.66,4,650089,682593,5200712.24,5.2,6240854.69,30554184,5840
48.0,iperf.he.net:5201,46,5,100.14,9.3,4,708898,744343,5671189.65,5.67,6805427.58,34027137,5840
49.0,iperf.he.net:5201,48,5,100.11,8.29,4,750233,787745,6001868.21,6.0,7202241.85,36761442,5840
50.0,iperf.he.net:5201,49,5,100.83,7.33,4,754858,792601,6038868.26,6.04,7246641.91,37742926,5840
51.0,iperf.he.net:5201,50,5,98.34,9.96,4,782214,821324,6257714.03,6.26,7509256.83,39892926,5840
52.0,iperf.he.net:5201,51,5,99.62,3.77,4,683145,717302,5465161.26,5.47,6558193.51,35523548,5840
53.0,iperf.he.net:5201,52,5,99.45,6.07,4,836984,878833,6695876.08,6.7,8035051.3,44360179,5840
54.0,iperf.he.net:5201,52,5,98.67,2.95,4,860094,903099,6880757.78,6.88,8256909.34,46445115,5840
55.0,iperf.he.net:5201,53,5,98.2,3.12,4,792182,831791,6337457.57,6.34,7604949.08,43570020,5840
56.0,iperf.he.net:5201,53,5,99.19,2.03,4,791453,831025,6331625.46,6.33,7597950.55,44321378,5840
57.0,iperf.he.net:5201,55,5,100.39,6.71,4,807206,847566,6457649.05,6.46,7749178.86,46010749,5840
58.0,iperf.he.net:5201,55,5,98.29,7.19,4,894788,939527,7158304.59,7.16,8589965.51,51897708,5840
59.0,iperf.he.net:5201,28,27,100.55,2.96,5,415451,436224,3323612.92,3.32,3988335.5,24511645,7300
