timestamp,destination,cwnd,ssthresh,rtt_ms,rttvar_ms,retrans,bytes_acked,bytes_sent,throughput_bps,throughput_mbps,pacing_rate,delivered,lost
0.0,nyc.speedtest.clouvider.net:5201,10,65535,148.72,3.63,0,100960,106008,807681.31,0.81,969217.57,0,0
1.0,nyc.speedtest.clouvider.net:5201,10,65535,148.25,1.48,0,97821,102712,782570.73,0.78,939084.88,97821,0
2.0,nyc.speedtest.clouvider.net:5201,10,65535,150.46,3.6,0,94085,98789,752682.91,0.75,903219.49,188170,0
3.0,nyc.speedtest.clouvider.net:5201,9,65535,150.77,7.58,0,94201,98911,753611.62,0.75,904333.95,282604,0
4.0,nyc.speedtest.clouvider.net:5201,11,65535,150.66,4.49,0,105844,111136,846757.19,0.85,1016108.63,423378,0
5.0,nyc.speedtest.clouvider.net:5201,11,65535,149.31,8.62,0,105639,110921,845116.46,0.85,1014139.75,528197,0
6.0,nyc.speedtest.clouvider.net:5201,11,65535,149.15,1.63,0,112014,117615,896116.26,0.9,1075339.51,672087,0
7.0,nyc.speedtest.clouvider.net:5201,12,65535,151.48,7.98,0,126339,132656,1010717.71,1.01,1212861.25,884377,0
8.0,nyc.speedtest.clouvider.net:5201,13,65535,148.05,6.31,0,126435,132756,1011480.26,1.01,1213776.32,1011480,0
9.0,nyc.speedtest.clouvider.net:5201,13,65535,150.38,1.44,0,144346,151563,1154769.64,1.15,1385723.57,1299115,0
10.0,nyc.speedtest.clouvider.net:5201,6,6,148.05,6.26,1,62009,65109,496073.72,0.5,595288.47,620092,1460
11.0,nyc.speedtest.clouvider.net:5201,5,6,151.64,5.04,1,62230,65341,497840.4,0.5,597408.48,684530,1460
12.0,nyc.speedtest.clouvider.net:5201,6,6,150.95,8.63,1,59827,62819,478622.15,0.48,574346.58,717933,1460
13.0,nyc.speedtest.clouvider.net:5201,7,6,151.36,10.0,1,61890,64985,495123.89,0.5,594148.66,804576,1460
14.0,nyc.speedtest.clouvider.net:5201,8,6,151.82,8.31,1,70696,74231,565570.42,0.57,678684.5,989748,1460
15.0,nyc.speedtest.clouvider.net:5201,9,6,150.36,1.66,1,101916,107012,815331.88,0.82,978398.25,1528747,1460
16.0,nyc.speedtest.clouvider.net:5201,5,5,151.83,6.04,2,52171,54779,417369.78,0.42,500843.74,834739,2920
17.0,nyc.speedtest.clouvider.net:5201,7,5,149.28,4.33,2,76830,80671,614641.91,0.61,737570.3,1306114,2920
18.0,nyc.speedtest.clouvider.net:5201,7,5,150.04,5.97,2,72712,76348,581703.39,0.58,698044.07,1308832,2920
19.0,nyc.speedtest.clouvider.net:5201,7,5,150.68,4.44,2,71773,75362,574191.17,0.57,689029.4,1363704,2920
20.0,nyc.speedtest.clouvider.net:5201,2,3,151.87,2.69,3,35135,36892,281084.35,0.28,337301.22,702710,4380
21.0,nyc.speedtest.clouvider.net:5201,3,3,149.38,3.94,3,30266,31779,242129.34,0.24,290555.2,635589,4380
22.0,nyc.speedtest.clouvider.net:5201,4,3,149.41,8.71,3,31939,33536,255515.88,0.26,306619.06,702668,4380
23.0,nyc.speedtest.clouvider.net:5201,4,3,149.09,5.19,3,44896,47141,359171.75,0.36,431006.1,1032618,4380
24.0,nyc.speedtest.clouvider.net:5201,2,2,150.75,3.1,4,25602,26882,204820.99,0.2,245785.18,614462,5840
25.0,nyc.speedtest.clouvider.net:5201,4,2,149.86,6.11,4,45185,47445,361486.47,0.36,433783.77,1129645,5840
26.0,nyc.speedtest.clouvider.net:5201,6,2,151.0,6.32,4,65090,68345,520725.26,0.52,624870.31,1692357,5840
27.0,nyc.speedtest.clouvider.net:5201,7,2,149.71,1.83,4,67675,71059,541403.01,0.54,649683.61,1827235,5840
28.0,nyc.speedtest.clouvider.net:5201,10,2,148.03,9.0,4,91584,96163,732678.09,0.73,879213.7,2564373,5840
29.0,nyc.speedtest.clouvider.net:5201,11,2,151.13,2.91,4,104085,109290,832685.95,0.83,999223.14,3018486,5840
30.0,nyc.speedtest.clouvider.net:5201,11,2,151.54,1.58,4,116097,121902,928779.28,0.93,1114535.14,3482922,5840
31.0,nyc.speedtest.clouvider.net:5201,13,2,149.63,3.46,4,128188,134597,1025508.52,1.03,1230610.22,3973845,5840
32.0,nyc.speedtest.clouvider.net:5201,13,2,148.59,4.24,4,142324,149441,1138598.39,1.14,1366318.06,4554393,5840
33.0,nyc.speedtest.clouvider.net:5201,15,2,151.74,5.07,4,139158,146116,1113271.73,1.11,1335926.07,4592245,5840
34.0,nyc.speedtest.clouvider.net:5201,16,2,148.82,3.43,4,162225,170336,1297804.51,1.3,1557365.41,5515669,5840
35.0,nyc.speedtest.clouvider.net:5201,17,2,150.43,7.09,4,173478,182151,1387824.29,1.39,1665389.15,6071731,5840
36.0,nyc.speedtest.clouvider.net:5201,17,2,148.11,3.98,4,168099,176504,1344799.87,1.34,1613759.84,6051599,5840
37.0,nyc.speedtest.clouvider.net:5201,18,2,148.67,7.73,4,168550,176978,1348406.67,1.35,1618088.0,6236380,5840
38.0,nyc.speedtest.clouvider.net:5201,19,2,150.29,3.96,4,181139,190196,1449119.88,1.45,1738943.86,6883319,5840
39.0,nyc.speedtest.clouvider.net:5201,21,2,150.09,1.86,4,195088,204842,1560707.5,1.56,1872849.01,7608449,5840
40.0,nyc.speedtest.clouvider.net:5201,21,2,148.88,7.33,4,207471,217845,1659773.39,1.66,1991728.07,8298866,5840
41.0,nyc.speedtest.clouvider.net:5201,22,2,148.57,8.41,4,216209,227019,1729673.66,1.73,2075608.39,8864577,5840
42.0,nyc.speedtest.clouvider.net:5201,23,2,150.4,9.69,4,242880,255024,1943043.32,1.94,2331651.99,10200977,5840
43.0,nyc.speedtest.clouvider.net:5201,25,2,151.61,2.14,4,232412,244032,1859296.93,1.86,2231156.31,9993720,5840
44.0,nyc.speedtest.clouvider.net:5201,25,2,151.72,5.17,4,222064,233168,1776519.7,1.78,2131823.64,9770858,5840
45.0,nyc.speedtest.clouvider.net:5201,25,2,151.62,5.06,4,232068,243671,1856544.37,1.86,2227853.24,10443062,5840
46.0,nyc.speedtest.clouvider.net:5201,27,2,148.71,6.89,4,260632,273664,2085059.67,2.09,2502071.61,11989093,5840
47.0,nyc.speedtest.clouvider.net:5201,28,2,149.21,6.03,4,300075,315079,2400607.93,2.4,2880729.52,14103571,5840
48.0,nyc.speedtest.clouvider.net:5201,14,14,150.64,9.4,5,140090,147095,1120725.41,1.12,1344870.49,6724352,7300
49.0,nyc.speedtest.clouvider.net:5201,15,14,149.06,4.23,5,156629,164460,1253033.66,1.25,1503640.39,7674831,7300
50.0,nyc.speedtest.clouvider.net:5201,18,14,150.85,4.55,5,162154,170261,1297232.55,1.3,1556679.06,8107703,7300
51.0,nyc.speedtest.clouvider.net:5201,19,14,148.04,8.03,5,201222,211283,1609781.85,1.61,1931738.22,10262359,7300
52.0,nyc.speedtest.clouvider.net:5201,22,14,151.31,9.99,5,225761,237049,1806088.04,1.81,2167305.64,11739572,7300
53.0,nyc.speedtest.clouvider.net:5201,23,14,150.01,1.57,5,239031,250983,1912252.39,1.91,2294702.86,12668672,7300
54.0,nyc.speedtest.clouvider.net:5201,24,14,150.36,8.71,5,234750,246487,1878001.74,1.88,2253602.09,12676511,7300
55.0,nyc.speedtest.clouvider.net:5201,25,14,148.3,8.62,5,281055,295108,2248442.6,2.25,2698131.12,15458042,7300
56.0,nyc.speedtest.clouvider.net:5201,27,14,148.23,1.65,5,244447,256669,1955578.51,1.96,2346694.22,13689049,7300
57.0,nyc.speedtest.clouvider.net:5201,29,14,148.26,6.73,5,314321,330037,2514572.31,2.51,3017486.77,17916327,7300
58.0,nyc.speedtest.clouvider.net:5201,30,14,150.7,10.0,5,319428,335399,2555425.31,2.56,3066510.37,18526833,7300
59.0,nyc.speedtest.clouvider.net:5201,31,14,151.2,9.56,5,305978,321276,2447824.36,2.45,2937389.23,18052704,7300
