timestamp,destination,cwnd,ssthresh,rtt_ms,rttvar_ms,retrans,bytes_acked,bytes_sent,throughput_bps,throughput_mbps,pacing_rate,delivered,lost
0.0,ping.online.net:5201,10,65535,26.27,8.74,0,550140,577647,4401122.0,4.4,5281346.39,0,0
1.0,ping.online.net:5201,10,65535,24.44,2.08,0,642624,674755,5140994.2,5.14,6169193.04,642624,0
2.0,ping.online.net:5201,10,65535,24.96,8.83,0,652316,684932,5218531.88,5.22,6262238.25,1304632,0
3.0,ping.online.net:5201,10,65535,24.58,6.04,0,657165,690023,5257323.74,5.26,6308788.49,1971496,0
4.0,ping.online.net:5201,10,65535,23.63,5.2,0,665623,698905,5324991.45,5.32,6389989.74,2662495,0
5.0,ping.online.net:5201,10,65535,23.23,5.5,0,685682,719967,5485462.98,5.49,6582555.57,3428414,0
6.0,ping.online.net:5201,12,65535,23.13,3.79,0,682276,716389,5458208.02,5.46,6549849.62,4093656,0
7.0,ping.online.net:5201,12,65535,26.29,4.99,0,764624,802856,6116998.22,6.12,7340397.86,5352373,0
8.0,ping.online.net:5201,13,65535,26.93,6.36,0,727732,764118,5821857.52,5.82,6986229.03,5821857,0
9.0,ping.online.net:5201,14,65535,25.74,2.41,0,716994,752844,5735959.54,5.74,6883151.45,6452954,0
10.0,ping.online.net:5201,15,65535,23.17,8.66,0,980594,1029624,7844759.98,7.84,9413711.98,9805949,0
11.0,ping.online.net:5201,17,65535,25.81,2.39,0,978823,1027764,7830589.91,7.83,9396707.89,10767061,0
12.0,ping.online.net:5201,17,65535,24.66,8.42,0,1134298,1191013,9074387.16,9.07,10889264.59,13611580,0
13.0,ping.online.net:5201,17,65535,23.26,8.91,0,1145056,1202309,9160454.51,9.16,10992545.41,14885738,0
14.0,ping.online.net:5201,19,65535,25.91,8.96,0,1008840,1059282,8070721.28,8.07,9684865.53,14123762,0
15.0,ping.online.net:5201,19,65535,26.88,8.07,0,1175362,1234130,9402896.3,9.4,11283475.56,17630430,0
16.0,ping.online.net:5201,21,65535,26.8,5.11,0,1092753,1147391,8742030.67,8.74,10490436.8,17484061,0
17.0,ping.online.net:5201,22,65535,25.33,1.26,0,1328881,1395325,10631053.47,10.63,12757264.16,22590988,0
18.0,ping.online.net:5201,24,65535,23.56,2.69,0,1328346,1394764,10626774.54,10.63,12752129.45,23910242,0
19.0,ping.online.net:5201,25,65535,26.31,6.55,0,1549631,1627112,12397051.04,12.4,14876461.25,29442996,0
20.0,ping.online.net:5201,27,65535,23.29,7.82,0,1737377,1824246,13899019.24,13.9,16678823.09,34747548,0
21.0,ping.online.net:5201,27,65535,25.66,4.72,0,1576679,1655513,12613435.56,12.61,15136122.67,33110268,0
22.0,ping.online.net:5201,28,65535,24.18,7.85,0,1807575,1897954,14460602.92,14.46,17352723.51,39766658,0
23.0,ping.online.net:5201,30,65535,25.54,8.56,0,1883330,1977496,15066642.57,15.07,18079971.08,43316597,0
24.0,ping.online.net:5201,31,65535,23.25,4.84,0,2072298,2175913,16578386.23,16.58,19894063.48,49735158,0
25.0,ping.online.net:5201,33,65535,23.69,9.66,0,2154643,2262376,17237150.48,17.24,20684580.58,53866095,0
26.0,ping.online.net:5201,35,65535,25.97,5.48,0,2076969,2180818,16615759.77,16.62,19938911.72,54001219,0
27.0,ping.online.net:5201,37,65535,26.54,3.46,0,1943377,2040546,15547021.44,15.55,18656425.73,52471197,0
28.0,ping.online.net:5201,39,65535,25.8,8.11,0,2357523,2475400,18860192.0,18.86,22632230.4,66010671,0
29.0,ping.online.net:5201,21,20,24.39,5.5,1,1160678,1218712,9285430.9,9.29,11142517.08,33659687,1460
30.0,ping.online.net:5201,22,20,23.77,2.89,1,1434296,1506011,11474370.11,11.47,13769244.13,43028887,1460
31.0,ping.online.net:5201,12,11,26.31,9.28,2,594286,624001,4754295.95,4.75,5705155.14,18422896,2920
32.0,ping.online.net:5201,12,11,23.67,9.16,2,809173,849631,6473385.68,6.47,7768062.81,25893542,2920
33.0,ping.online.net:5201,13,11,25.07,1.74,2,682120,716226,5456965.35,5.46,6548358.42,22509982,2920
34.0,ping.online.net:5201,13,11,26.05,1.12,2,712040,747642,5696321.9,5.7,6835586.29,24209368,2920
35.0,ping.online.net:5201,14,11,25.36,9.85,2,848600,891030,6788800.31,6.79,8146560.37,29701001,2920
36.0,ping.online.net:5201,15,11,26.48,3.57,2,851461,894034,6811693.76,6.81,8174032.51,30652621,2920
37.0,ping.online.net:5201,8,8,25.76,3.08,3,471666,495249,3773328.51,3.77,4527994.21,17451644,4380
38.0,ping.online.net:5201,9,8,23.89,9.39,3,476905,500750,3815241.06,3.82,4578289.28,18122395,4380
39.0,ping.online.net:5201,10,8,23.87,8.41,3,666933,700280,5335468.74,5.34,6402562.49,26010410,4380
40.0,ping.online.net:5201,10,8,26.64,7.76,3,636577,668406,5092623.99,5.09,6111148.78,25463119,4380
41.0,ping.online.net:5201,5,5,25.87,7.49,4,359449,377421,2875592.49,2.88,3450710.98,14737411,5840
42.0,ping.online.net:5201,6,5,25.12,4.4,4,304090,319295,2432723.98,2.43,2919268.77,12771800,5840
43.0,ping.online.net:5201,6,5,23.5,6.54,4,472633,496265,3781071.4,3.78,4537285.68,20323258,5840
44.0,ping.online.net:5201,7,5,23.64,4.38,4,572888,601532,4583104.63,4.58,5499725.55,25207075,5840
45.0,ping.online.net:5201,4,4,26.79,1.89,5,228517,239943,1828142.14,1.83,2193770.57,10283299,7300
46.0,ping.online.net:5201,5,4,23.38,9.39,5,300853,315895,2406824.68,2.41,2888189.62,13839241,7300
47.0,ping.online.net:5201,5,4,23.9,1.39,5,320986,337035,2567891.65,2.57,3081469.98,15086363,7300
48.0,ping.online.net:5201,7,4,23.53,1.02,5,492799,517439,3942393.8,3.94,4730872.55,23654362,7300
49.0,ping.online.net:5201,8,4,26.14,9.5,5,484548,508776,3876391.01,3.88,4651669.21,23742894,7300
50.0,ping.online.net:5201,11,4,25.91,2.36,5,627747,659134,5021979.38,5.02,6026375.25,31387371,7300
51.0,ping.online.net:5201,12,4,23.18,8.3,5,820033,861035,6560270.27,6.56,7872324.32,41821722,7300
52.0,ping.online.net:5201,12,4,24.9,6.1,5,869777,913266,6958218.92,6.96,8349862.7,45228422,7300
53.0,ping.online.net:5201,12,4,24.58,3.82,5,724067,760271,5792541.09,5.79,6951049.31,38375584,7300
54.0,ping.online.net:5201,13,4,26.4,9.84,5,749089,786544,5992717.94,5.99,7191261.53,40450846,7300
55.0,ping.online.net:5201,15,4,23.43,8.62,5,962408,1010529,7699270.63,7.7,9239124.76,52932485,7300
56.0,ping.online.net:5201,16,4,25.14,7.89,5,881480,925554,7051845.23,7.05,8462214.27,49362916,7300
57.0,ping.online.net:5201,16,4,23.43,2.07,5,982331,1031448,7858655.77,7.86,9430386.93,55992922,7300
58.0,ping.online.net:5201,18,4,24.87,3.05,5,1006019,1056320,8048156.48,8.05,9657787.77,58349134,7300
59.0,ping.online.net:5201,19,4,26.58,8.48,5,1173449,1232121,9387594.11,9.39,11265112.93,69233506,7300
